DATE,DIFF
2455942.641,0.9789137
2455942.641,0.987369
2455942.642,0.9799958
2455942.642,0.9850233
2455942.643,0.9653646
2455942.643,0.9811481
2455942.644,0.9682808
2455942.644,0.9740145
2455942.645,0.9676568
2455942.645,0.9726523
2455942.646,0.9819638
2455942.646,0.9696317
2455942.647,0.9751682
2455942.647,0.973828
2455942.647,0.9740341
2455942.648,0.9767594
2455942.648,0.971556
2455942.649,0.9732529
2455942.649,0.9823459
2455942.65,0.972651
2455942.65,0.9776099
2455942.651,0.9716749
2455942.651,0.971291
2455942.652,0.9783786
2455942.652,0.9795763
2455942.653,0.9745413
2455942.653,0.961819
2455942.654,0.9806736
2455942.654,0.9784656
2455942.655,0.9716008
2455942.655,0.9803838
2455942.655,0.9779894
2455942.656,0.9682704
2455942.656,0.9724102
2455942.657,0.9702311
2455942.657,0.9637138
2455942.658,0.9747773
2455942.658,0.9780057
2455942.659,0.9588059
2455942.659,0.9733494
2455942.66,0.9665163
2455942.66,0.9757172
2455942.661,0.9658349
2455942.661,0.9784444
2455942.662,0.9811488
2455942.662,0.9650457
2455942.663,0.9709836
2455942.663,0.9685202
2455942.663,0.9729608
2455942.664,0.9732431
2455942.664,0.9663002
2455942.665,0.968427
2455942.665,0.9630541
2455942.666,0.9722413
2455942.666,0.983161
2455942.667,0.9774485
2455942.667,0.9776421
2455942.668,0.9859847
2455942.668,0.9854189
2455942.669,0.9612154
2455942.669,0.9863761
2455942.67,0.9699878
2455942.67,0.9759515
2455942.67,0.9750679
2455942.671,0.9758132
2455942.671,0.9842853
2455942.672,0.9807118
2455942.672,0.9838696
2455942.673,0.9822189
2455942.673,0.9787177
2455942.674,0.9706622
2455942.674,0.9836062
2455942.675,0.9792862
2455942.675,0.9884223
2455942.676,0.9727759
2455942.676,0.9830792
2455942.677,0.9804994
2455942.677,0.9700291
2455942.678,0.968216
2455942.678,0.9736339
2455942.678,0.9833495
2455942.679,0.977333
2455942.679,0.9740648
2455942.68,0.9631348
2455942.68,0.9696658
2455942.681,0.9709132
2455942.681,0.9747167
2455942.682,0.9751119
2455942.682,0.9823178
2455942.683,0.9711174
2455942.683,0.9729437
2455942.684,0.974781
2455942.684,0.974688
2455942.685,0.9732529
2455942.685,0.9718605
2455942.685,0.9857916
2455942.686,0.9639743
2455942.686,0.9731998
2455942.687,0.9699315
2455942.687,0.9754612
2455942.688,0.9784742
2455942.688,0.9826718
2455942.689,0.979033
2455942.689,0.9817268
2455942.69,0.9788203
2455942.69,0.9929329
2455942.691,0.9778772
2455942.691,0.9797594
2455942.692,0.9719517
2455942.692,0.9803177
2455942.692,0.9788986
2455942.693,0.9693192
2455942.693,0.9711599
2455942.694,0.9727797
2455942.694,0.97894
2455942.695,0.9844411
2455942.695,0.9842514
2455942.696,0.9739171
2455942.696,0.9769345
2455942.697,0.9893504
2455942.697,0.9729306
2455942.698,0.9807255
2455942.698,0.9845402
2455942.699,0.9759919
2455942.699,0.9860895
2455942.699,0.975859
2455942.7,0.9865488
2455942.7,0.9821313
2455942.701,0.9738483
2455942.701,0.9901533
2455942.702,0.9870452
2455942.702,0.9810824
2455942.703,0.9844851
2455942.703,0.9983471
2455942.704,0.9829481
2455942.704,0.9937543
2455942.705,0.9867851
2455942.705,0.9806985
2455942.706,0.9800164
2455942.706,0.9924757
2455942.707,0.9855679
2455942.707,0.9764862
2455942.707,0.9902128
2455942.708,0.9899354
2455942.708,0.9814996
2455942.709,1.0062525
2455942.709,0.9804801
2455942.71,0.976605
2455942.71,0.9821702
2455942.711,0.9901765
2455942.711,1.0037324
2455942.712,1.004731
2455942.712,0.9901808
2455942.713,0.9877794
2455942.713,0.9893411
2455942.714,0.9999135
2455942.714,0.9922071
2455942.714,0.9892631
2455942.715,0.9894906
2455942.715,0.9898299
2455942.716,0.9973954
2455942.716,1.0107943
2455942.717,0.9990833
2455942.717,0.9984405
2455942.718,1.0004767
2455942.718,0.9851357
2455942.719,0.9947902
2455942.719,0.9970346
2455942.72,1.0006085
2455942.72,0.9950444
2455942.721,1.0039733
2455942.721,0.996274
2455942.722,1.0062948
2455942.722,1.0126012
2455942.722,1.00433
2455942.723,1.0017238
2455942.723,1.0015384
2455942.724,1.0143687
2455942.724,1.0103981
2455942.725,1.0096728
2455942.725,0.9973768
2455942.726,0.9933053
2455942.727,1.0035862
2455942.727,1.0018746
2455942.728,0.9988294
2455942.728,1.0093416
2455942.729,1.0104133
2455942.729,1.0094541
2455942.729,1.0005981
2455942.73,0.999726
2455942.73,0.9976718
2455942.731,0.9969336
2455942.731,1.0115403
2455942.732,0.9951543
2455942.732,0.9952186
2455942.733,0.9914823
2455942.733,0.9946083
2455942.734,0.9988091
2455942.735,1.0045727
2455942.735,0.9980554
2455942.736,1.0151914
2455942.737,0.9954901
2455942.737,0.9997491
2455942.737,0.993734
2455942.738,0.9822679
2455942.738,1.0076797
2455942.739,1.0072278
2455942.739,0.9894857
2455942.74,0.9932028
2455942.74,1.0052991
2455942.741,0.9793415
2455942.741,0.9944056
2455942.742,1.0136372
2455942.742,0.982688
2455942.743,0.9959628
2455942.743,1.0038404
2455942.744,1.0035287
2455942.744,0.991577
2455942.744,1.0092448
2455942.745,0.9931384
2455942.745,0.9774286
2455942.746,0.9879049
2455942.746,0.9867441
2455942.747,1.0021152
2455942.748,1.0065809
